"ID","B64 ID","STATE","CITY","NAME","NUM RATINGS","AVG RATINGS","TYPENAME","URL"
"59","U2Nob29sLTU5","MA","South Lancaster","Atlantic Union College","2","3.25","School","https://www.ratemyprofessors.com/school?sid=59"
"60","U2Nob29sLTYw","","","Auburn University","875","4.43735","School","https://www.ratemyprofessors.com/school?sid=60"
"61","U2Nob29sLTYx","AL","Montgomery","Auburn University at Montgomery","174","3.57","School","https://www.ratemyprofessors.com/school?sid=61"
"63","U2Nob29sLTYz","","","Augsburg University","93","3.49782","School","https://www.ratemyprofessors.com/school?sid=63"
"64","U2Nob29sLTY0","GA","Augusta","Augusta University","206","3.37","School","https://www.ratemyprofessors.com/school?sid=64"
"65","U2Nob29sLTY1","SD","Sioux Falls","Augustana University","94","3.52583","School","https://www.ratemyprofessors.com/school?sid=65"
"66","U2Nob29sLTY2","IL","Rock Island","Augustana College","143","3.58","School","https://www.ratemyprofessors.com/school?sid=66"
"67","U2Nob29sLTY3","IL","Aurora","Aurora University","112","3.00296","School","https://www.ratemyprofessors.com/school?sid=67"
"68","U2Nob29sLTY4","TX","Sherman","Austin College","67","3.37","School","https://www.ratemyprofessors.com/school?sid=68"
"69","U2Nob29sLTY5","TN","Clarksville","Austin Peay State University","312","3.65662","School","https://www.ratemyprofessors.com/school?sid=69"
"70","U2Nob29sLTcw","VA","Danville","Averett University","36","2.5","School","https://www.ratemyprofessors.com/school?sid=70"
"71","U2Nob29sLTcx","MO","Kansas City","Avila University","29","3.36","School","https://www.ratemyprofessors.com/school?sid=71"
"72","U2Nob29sLTcy","CA","Azusa","Azusa Pacific University-Azusa","245","3.77","School","https://www.ratemyprofessors.com/school?sid=72"
"73","U2Nob29sLTcz","MA","Babson Park","Babson College","91","4.06","School","https://www.ratemyprofessors.com/school?sid=73"
"74","U2Nob29sLTc0","MI","Flint","Baker College","48","3.09514","School","https://www.ratemyprofessors.com/school?sid=74"
"75","U2Nob29sLTc1","KS","Baldwin City","Baker University","20","3.59","School","https://www.ratemyprofessors.com/school?sid=75"
"76","U2Nob29sLTc2","","","Baldwin Wallace University","161","3.71","School","https://www.ratemyprofessors.com/school?sid=76"
"77","U2Nob29sLTc3","","","Ball State University","644","3.88","School","https://www.ratemyprofessors.com/school?sid=77"
"78","U2Nob29sLTc4","MD","Baltimore","Baltimore Hebrew University","0","0","School","https://www.ratemyprofessors.com/school?sid=78"
"79","U2Nob29sLTc5","NY","New York","Bank Street College of Education","4","3.56","School","https://www.ratemyprofessors.com/school?sid=79"
"81","U2Nob29sLTgx","NC","Concord","Barber-Scotia College","0","0","School","https://www.ratemyprofessors.com/school?sid=81"
"82","U2Nob29sLTgy","","","Bard College","93","3.79","School","https://www.ratemyprofessors.com/school?sid=82"
"83","U2Nob29sLTgz","NY","New York","Barnard College","16","4.18","School","https://www.ratemyprofessors.com/school?sid=83"
"84","U2Nob29sLTg0","","","Barry University (all)","89","3.09129","School","https://www.ratemyprofessors.com/school?sid=84"
"86","U2Nob29sLTg2","WA","Kenmore","Bastyr University","12","3.14","School","https://www.ratemyprofessors.com/school?sid=86"
"87","U2Nob29sLTg3","ME","Lewiston","Bates College","78","4.39","School","https://www.ratemyprofessors.com/school?sid=87"
"88","U2Nob29sLTg4","TX","Dallas","Texas A&M College of Dentistry","2","4.83","School","https://www.ratemyprofessors.com/school?sid=88"
"89","U2Nob29sLTg5","TX","Houston","Baylor College of Medicine","3","4.3","School","https://www.ratemyprofessors.com/school?sid=89"
"90","U2Nob29sLTkw","","","Baylor University","160","4.06","School","https://www.ratemyprofessors.com/school?sid=90"
"91","U2Nob29sLTkx","PA","Glenside","Arcadia University","114","3.32","School","https://www.ratemyprofessors.com/school?sid=91"
"93","U2Nob29sLTkz","KY","Louisville","Bellarmine University","174","3.77","School","https://www.ratemyprofessors.com/school?sid=93"
"94","U2Nob29sLTk0","NE","Bellevue","Bellevue University","44","3.47","School","https://www.ratemyprofessors.com/school?sid=94"
"95","U2Nob29sLTk1","NC","Belmont","Belmont Abbey College","44","3.16696","School","https://www.ratemyprofessors.com/school?sid=95"
"96","U2Nob29sLTk2","TN","Nashville","Belmont University","325","3.66077","School","https://www.ratemyprofessors.com/school?sid=96"
"97","U2Nob29sLTk3","WI","Beloit","Beloit College","46","3.8","School","https://www.ratemyprofessors.com/school?sid=97"
"98","U2Nob29sLTk4","MN","Bemidji","Bemidji State University","128","3.54","School","https://www.ratemyprofessors.com/school?sid=98"
"99","U2Nob29sLTk5","SC","Columbia","Benedict College","20","3.06","School","https://www.ratemyprofessors.com/school?sid=99"
"100","U2Nob29sLTEwMA==","KS","Atchison","Benedictine College","59","3.66828","School","https://www.ratemyprofessors.com/school?sid=100"
"101","U2Nob29sLTEwMQ==","NC","Greensboro","Bennett College for Women","7","3.09","School","https://www.ratemyprofessors.com/school?sid=101"
"102","U2Nob29sLTEwMg==","VT","Bennington","Bennington College","22","3.68131","School","https://www.ratemyprofessors.com/school?sid=102"
"103","U2Nob29sLTEwMw==","MA","Waltham","Bentley University","235","4.04202","School","https://www.ratemyprofessors.com/school?sid=103"
"104","U2Nob29sLTEwNA==","KY","Berea","Berea College","75","3.6377","School","https://www.ratemyprofessors.com/school?sid=104"
"105","U2Nob29sLTEwNQ==","","","Berklee College of Music","184","3.91","School","https://www.ratemyprofessors.com/school?sid=105"
"106","U2Nob29sLTEwNg==","GA","Mount Berry","Berry College","219","3.81","School","https://www.ratemyprofessors.com/school?sid=106"
"108","U2Nob29sLTEwOA==","KS","Lindsborg","Bethany College","6","2.81","School","https://www.ratemyprofessors.com/school?sid=108"
"109","U2Nob29sLTEwOQ==","IN","Mishawaka","Bethel University","24","3.69","School","https://www.ratemyprofessors.com/school?sid=109"
"110","U2Nob29sLTExMA==","KS","North Newton","Bethel College","9","3.575","School","https://www.ratemyprofessors.com/school?sid=110"
"111","U2Nob29sLTExMQ==","MN","St. Paul","Bethel University","94","4.01","School","https://www.ratemyprofessors.com/school?sid=111"
"112","U2Nob29sLTExMg==","","","Bethune-Cookman University","40","3.37","School","https://www.ratemyprofessors.com/school?sid=112"
"113","U2Nob29sLTExMw==","CA","La Mirada","Biola University","213","4.22273","School","https://www.ratemyprofessors.com/school?sid=113"
"114","U2Nob29sLTExNA==","AL","Birmingham","Birmingham-Southern College","49","3.80418","School","https://www.ratemyprofessors.com/school?sid=114"
"115","U2Nob29sLTExNQ==","SD","Spearfish","Black Hills State University","37","3.17802","School","https://www.ratemyprofessors.com/school?sid=115"
"116","U2Nob29sLTExNg==","PA","Bloomsburg","Bloomsburg University","271","3.87","School","https://www.ratemyprofessors.com/school?sid=116"
"117","U2Nob29sLTExNw==","WV","Bluefield","Bluefield State College","18","2.53","School","https://www.ratemyprofessors.com/school?sid=117"
"118","U2Nob29sLTExOA==","OH","Bluffton","Bluffton University","14","4.1","School","https://www.ratemyprofessors.com/school?sid=118"
"119","U2Nob29sLTExOQ==","SC","Greenville","Bob Jones University","45","3.57","School","https://www.ratemyprofessors.com/school?sid=119"
"120","U2Nob29sLTEyMA==","ID","Boise","Boise State University","406","3.70457","School","https://www.ratemyprofessors.com/school?sid=120"
"121","U2Nob29sLTEyMQ==","MA","Boston","Boston Architectural College","15","2.19","School","https://www.ratemyprofessors.com/school?sid=121"
"122","U2Nob29sLTEyMg==","","","Boston College","109","4.17","School","https://www.ratemyprofessors.com/school?sid=122"
"123","U2Nob29sLTEyMw==","MA","Brookline","Boston Graduate School of Psychoanalysis","13","3.57","School","https://www.ratemyprofessors.com/school?sid=123"
"124","U2Nob29sLTEyNA==","MA","Boston","Boston University","461","3.90881","School","https://www.ratemyprofessors.com/school?sid=124"
"125","U2Nob29sLTEyNQ==","ME","Brunswick","Bowdoin College","44","4.41","School","https://www.ratemyprofessors.com/school?sid=125"
